Date,Close
2010. 11. 01,82.47
2010. 11. 02,82.61
2010. 11. 03,82.7
2010. 11. 04,82.96
2010. 11. 05,82.61
2010. 11. 08,82.63
2010. 11. 09,82.21
2010. 11. 10,82.18
2010. 11. 11,82.21
2010. 11. 12,81.84
2010. 11. 15,81.45
2010. 11. 16,81.72
2010. 11. 17,81.74
2010. 11. 18,81.74
2010. 11. 19,81.76
2010. 11. 22,82
2010. 11. 23,82.02
2010. 11. 24,81.63
2010. 11. 26,81.82
2010. 11. 29,81.88
2010. 11. 30,81.91
2010. 12. 01,81.19
2010. 12. 02,81.12
2010. 12. 03,81.25
2010. 12. 06,81.52
2010. 12. 07,80.93
2010. 12. 08,80.51
2010. 12. 09,80.58
2010. 12. 10,80.32
2010. 12. 13,80.53
2010. 12. 14,80.02
2010. 12. 15,79.77
2010. 12. 16,79.95
2010. 12. 17,80.44
2010. 12. 20,80.49
2010. 12. 21,80.58
2010. 12. 22,80.49
2010. 12. 23,80.4
2010. 12. 27,80.04
2010. 12. 28,79.52
2010. 12. 29,79.99
2010. 12. 30,80
2010. 12. 31,80.27
2011. 01. 03,80.17
2011. 01. 04,80.18
2011. 01. 05,79.83
2011. 01. 06,79.9
2011. 01. 07,80.2
2011. 01. 10,80.39
2011. 01. 11,80.23
2011. 01. 12,80.18
2011. 01. 13,80.43
2011. 01. 14,80.32
2011. 01. 18,80.24
2011. 01. 19,80.34
2011. 01. 20,80.04
2011. 01. 21,80.2
2011. 01. 24,80.19
2011. 01. 25,80.4
2011. 01. 26,80.12
2011. 01. 27,80.28
2011. 01. 28,80.45
2011. 01. 31,80.34
2011. 02. 01,79.96
2011. 02. 02,79.87
2011. 02. 03,79.6
2011. 02. 04,79.33
2011. 02. 07,79.34
2011. 02. 08,79.09
2011. 02. 09,79.28
2011. 02. 10,79.03
2011. 02. 11,79.3
2011. 02. 14,79.39
2011. 02. 15,79.5
2011. 02. 16,79.53
2011. 02. 17,79.65
2011. 02. 18,79.65
2011. 02. 22,79.95
2011. 02. 23,79.94
2011. 02. 24,80.02
2011. 02. 25,80.24
2011. 02. 28,80.35
2011. 03. 01,80.1
2011. 03. 02,79.94
2011. 03. 03,79.62
2011. 03. 04,79.89
2011. 03. 07,79.88
2011. 03. 08,79.81
2011. 03. 09,79.95
2011. 03. 10,80.32
2011. 03. 11,80.33
2011. 03. 14,80.41
2011. 03. 15,80.46
2011. 03. 16,80.84
2011. 03. 17,80.72
2011. 03. 18,80.71
2011. 03. 21,80.48
2011. 03. 22,80.45
2011. 03. 23,80.42
2011. 03. 24,80.29
2011. 03. 25,80.18
2011. 03. 28,80.11
2011. 03. 29,79.97
2011. 03. 30,80.11
2011. 03. 31,80.02
2011. 04. 01,79.89
2011. 04. 04,79.99
2011. 04. 05,79.81
2011. 04. 06,79.69
2011. 04. 07,79.67
2011. 04. 08,79.62
2011. 04. 11,79.63
2011. 04. 12,79.91
2011. 04. 13,80.06
2011. 04. 14,80.02
2011. 04. 15,80.27
2011. 04. 18,80.36
2011. 04. 19,80.49
2011. 04. 20,80.38
2011. 04. 21,80.44
2011. 04. 25,80.49
2011. 04. 26,80.74
2011. 04. 27,80.7
2011. 04. 28,80.85
2011. 04. 29,80.96
2011. 05. 02,80.76
2011. 05. 03,80.85
2011. 05. 04,80.95
2011. 05. 05,81.13
2011. 05. 06,81.19
2011. 05. 09,81.26
2011. 05. 10,81.05
2011. 05. 11,81.15
2011. 05. 12,81.07
2011. 05. 13,81.19
2011. 05. 16,81.38
2011. 05. 17,81.51
2011. 05. 18,81.28
2011. 05. 19,81.25
2011. 05. 20,81.32
2011. 05. 23,81.37
2011. 05. 24,81.42
2011. 05. 25,81.45
2011. 05. 26,81.56
2011. 05. 27,81.59
2011. 05. 31,81.69
2011. 06. 01,81.86
2011. 06. 02,81.53
2011. 06. 03,81.67
2011. 06. 06,81.62
2011. 06. 07,81.72
2011. 06. 08,81.88
2011. 06. 09,81.69
2011. 06. 10,81.79
2011. 06. 13,81.71
2011. 06. 14,81.37
2011. 06. 15,81.7
2011. 06. 16,81.75
2011. 06. 17,81.83
2011. 06. 20,81.73
2011. 06. 21,81.75
2011. 06. 22,81.77
2011. 06. 23,81.97
2011. 06. 24,82.05
2011. 06. 27,81.81
2011. 06. 28,81.51
2011. 06. 29,81.33
2011. 06. 30,81.16
2011. 07. 01,80.98
2011. 07. 05,81.25
2011. 07. 06,81.3
2011. 07. 07,81.13
2011. 07. 08,81.55
2011. 07. 11,81.79
2011. 07. 12,81.87
2011. 07. 13,81.98
2011. 07. 14,81.67
2011. 07. 15,81.82
2011. 07. 18,81.71
2011. 07. 19,81.93
2011. 07. 20,81.8
2011. 07. 21,81.62
2011. 07. 22,81.84
